类型,价格,等级,混合性,干性,正常,油性,敏感性
洁面乳,38 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,8 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,50 ,5 ,1 ,0 ,1 ,1 ,0 
洁面乳,28 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,21 ,4 ,1 ,1 ,1 ,1 ,0 
洁面乳,28 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,58 ,0 ,0 ,0 ,0 ,0 ,0 
洁面乳,35 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,75 ,5 ,1 ,0 ,1 ,0 ,0 
洁面乳,39 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,23 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,26 ,5 ,1 ,0 ,1 ,0 ,0 
洁面乳,30 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,39 ,5 ,1 ,1 ,1 ,0 ,1 
洁面乳,22 ,5 ,1 ,0 ,0 ,1 ,0 
洁面乳,14 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,28 ,5 ,1 ,1 ,1 ,1 ,0 
洁面乳,20 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,28 ,5 ,1 ,0 ,0 ,1 ,0 
洁面乳,29 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,34 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,26 ,5 ,1 ,1 ,1 ,0 ,1 
洁面乳,32 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,19 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,59 ,4 ,1 ,1 ,1 ,1 ,0 
洁面乳,38 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,32 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,19 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,17 ,4 ,1 ,1 ,1 ,1 ,0 
洁面乳,23 ,5 ,1 ,0 ,1 ,1 ,1 
洁面乳,25 ,0 ,0 ,0 ,0 ,0 ,0 
洁面乳,16 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,28 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,21 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,28 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,70 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,32 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,41 ,5 ,1 ,1 ,1 ,1 ,0 
洁面乳,38 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,28 ,5 ,1 ,1 ,1 ,0 ,1 
洁面乳,26 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,15 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,38 ,5 ,1 ,1 ,1 ,1 ,0 
洁面乳,46 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,18 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,32 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,25 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,7 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,35 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,30 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,32 ,4 ,1 ,0 ,1 ,1 ,0 
洁面乳,39 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,24 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,7 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,95 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,48 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,25 ,5 ,1 ,0 ,0 ,1 ,0 
洁面乳,19 ,5 ,1 ,1 ,1 ,1 ,0 
洁面乳,55 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,28 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,7 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,52 ,4 ,1 ,1 ,1 ,1 ,0 
洁面乳,32 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,76 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,16 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,22 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,48 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,7 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,33 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,25 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,22 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,14 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,45 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,32 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,24 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,7 ,3 ,1 ,1 ,1 ,1 ,1 
洁面乳,28 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,28 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,19 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,22 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,38 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,23 ,4 ,1 ,1 ,1 ,0 ,1 
洁面乳,42 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,22 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,58 ,4 ,1 ,0 ,1 ,1 ,0 
洁面乳,28 ,4 ,1 ,0 ,0 ,1 ,0 
洁面乳,60 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,24 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,12 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,60 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,23 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,26 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,12 ,5 ,1 ,0 ,1 ,1 ,0 
洁面乳,24 ,0 ,0 ,0 ,0 ,0 ,0 
洁面乳,25 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,24 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,7 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,75 ,5 ,1 ,0 ,1 ,1 ,0 
洁面乳,7 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,23 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,55 ,4 ,1 ,0 ,1 ,1 ,1 
洁面乳,15 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,28 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,38 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,75 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,36 ,4 ,1 ,0 ,1 ,1 ,0 
洁面乳,17 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,33 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,7 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,24 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,23 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,10 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,50 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,60 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,26 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,30 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,16 ,4 ,0 ,1 ,0 ,0 ,1 
洁面乳,18 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,26 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,28 ,4 ,0 ,0 ,0 ,1 ,1 
洁面乳,40 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,26 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,24 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,38 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,29 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,30 ,5 ,1 ,1 ,1 ,1 ,0 
洁面乳,28 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,30 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,38 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,39 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,32 ,4 ,1 ,0 ,1 ,1 ,0 
洁面乳,30 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,38 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,7 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,15 ,3 ,0 ,0 ,0 ,0 ,0 
洁面乳,8 ,5 ,1 ,0 ,0 ,1 ,0 
洁面乳,34 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,42 ,4 ,1 ,1 ,1 ,1 ,0 
洁面乳,28 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,4 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,34 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,8 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,45 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,95 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,30 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,9 ,4 ,1 ,1 ,1 ,1 ,0 
洁面乳,16 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,38 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,30 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,73 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,24 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,70 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,55 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,33 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,26 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,38 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,42 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,26 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,26 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,29 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,8 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,34 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,9 ,3 ,0 ,0 ,0 ,0 ,0 
洁面乳,42 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,22 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,39 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,39 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,20 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,22 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,21 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,26 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,16 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,55 ,0 ,1 ,1 ,1 ,1 ,0 
洁面乳,30 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,24 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,23 ,0 ,0 ,0 ,0 ,0 ,0 
洁面乳,55 ,4 ,1 ,0 ,1 ,0 ,0 
洁面乳,38 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,28 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,27 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,35 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,35 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,45 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,59 ,4 ,1 ,1 ,1 ,1 ,0 
洁面乳,25 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,29 ,5 ,1 ,1 ,1 ,1 ,0 
洁面乳,95 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,36 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,38 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,25 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,12 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,15 ,4 ,0 ,1 ,0 ,0 ,1 
洁面乳,78 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,20 ,4 ,1 ,0 ,1 ,1 ,0 
洁面乳,27 ,4 ,1 ,1 ,1 ,1 ,0 
洁面乳,32 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,24 ,5 ,0 ,1 ,1 ,0 ,1 
洁面乳,36 ,5 ,0 ,1 ,0 ,0 ,0 
洁面乳,35 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,42 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,26 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,16 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,19 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,38 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,28 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,33 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,29 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,32 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,39 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,22 ,4 ,1 ,0 ,0 ,1 ,0 
洁面乳,7 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,55 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,28 ,4 ,1 ,1 ,1 ,1 ,1 
洁面乳,7 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,19 ,5 ,1 ,1 ,1 ,1 ,1 
洁面乳,16 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,15 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,25 ,4 ,0 ,0 ,0 ,0 ,0 
洁面乳,32 ,5 ,0 ,0 ,0 ,0 ,0 
洁面乳,36 ,4 ,0 ,0 ,0 ,0 ,0 
面霜,80 ,4 ,1 ,1 ,1 ,1 ,0 
面霜,158 ,4 ,1 ,1 ,1 ,1 ,0 
面霜,98 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,48 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,178 ,2 ,0 ,0 ,0 ,0 ,0 
面霜,88 ,5 ,1 ,1 ,1 ,1 ,0 
面霜,105 ,5 ,1 ,1 ,1 ,1 ,1 
面霜,50 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,370 ,4 ,0 ,0 ,0 ,0 ,0 
面霜,100 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,59 ,4 ,1 ,0 ,1 ,1 ,0 
面霜,52 ,4 ,1 ,1 ,1 ,1 ,0 
面霜,88 ,5 ,1 ,1 ,1 ,1 ,0 
面霜,128 ,4 ,1 ,1 ,1 ,1 ,0 
面霜,28 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,49 ,4 ,1 ,0 ,1 ,1 ,1 
面霜,54 ,4 ,0 ,0 ,0 ,0 ,0 
面霜,85 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,23 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,79 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,62 ,4 ,1 ,1 ,1 ,1 ,0 
面霜,89 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,345 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,48 ,5 ,1 ,0 ,1 ,1 ,0 
面霜,115 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,19 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,95 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,30 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,88 ,4 ,1 ,1 ,1 ,0 ,1 
面霜,69 ,4 ,1 ,1 ,1 ,1 ,0 
面霜,36 ,5 ,1 ,1 ,1 ,1 ,0 
面霜,49 ,5 ,1 ,1 ,1 ,0 ,1 
面霜,42 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,98 ,4 ,0 ,0 ,0 ,0 ,0 
面霜,205 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,46 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,26 ,4 ,1 ,1 ,1 ,1 ,0 
面霜,82 ,5 ,1 ,1 ,1 ,1 ,0 
面霜,95 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,160 ,5 ,1 ,1 ,1 ,1 ,1 
面霜,150 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,40 ,4 ,1 ,0 ,1 ,1 ,0 
面霜,58 ,4 ,1 ,1 ,1 ,1 ,0 
面霜,34 ,5 ,1 ,1 ,1 ,1 ,1 
面霜,38 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,59 ,4 ,1 ,1 ,1 ,1 ,0 
面霜,58 ,4 ,0 ,0 ,0 ,0 ,0 
面霜,65 ,4 ,0 ,0 ,0 ,0 ,0 
面霜,78 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,48 ,5 ,1 ,1 ,1 ,1 ,1 
面霜,195 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,59 ,5 ,0 ,0 ,0 ,0 ,0 
面霜,60 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,100 ,5 ,1 ,1 ,1 ,0 ,0 
面霜,38 ,4 ,0 ,0 ,0 ,0 ,0 
面霜,132 ,3 ,1 ,1 ,1 ,1 ,0 
面霜,48 ,4 ,0 ,0 ,0 ,0 ,0 
面霜,245 ,5 ,1 ,1 ,1 ,1 ,1 
面霜,75 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,39 ,5 ,1 ,1 ,1 ,1 ,1 
面霜,18 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,65 ,4 ,1 ,1 ,1 ,1 ,0 
面霜,27 ,5 ,1 ,1 ,1 ,1 ,1 
面霜,49 ,5 ,1 ,1 ,1 ,1 ,0 
面霜,116 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,62 ,4 ,1 ,1 ,1 ,1 ,0 
面霜,88 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,52 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,45 ,5 ,0 ,0 ,0 ,0 ,0 
面霜,69 ,5 ,1 ,1 ,1 ,1 ,1 
面霜,88 ,4 ,0 ,0 ,0 ,0 ,1 
面霜,28 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,48 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,72 ,5 ,0 ,0 ,0 ,0 ,0 
面霜,56 ,4 ,1 ,1 ,0 ,0 ,1 
面霜,55 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,150 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,150 ,4 ,0 ,0 ,0 ,0 ,0 
面霜,25 ,4 ,0 ,0 ,0 ,0 ,0 
面霜,27 ,4 ,1 ,1 ,1 ,1 ,0 
面霜,46 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,95 ,4 ,0 ,0 ,0 ,0 ,0 
面霜,75 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,98 ,5 ,1 ,1 ,1 ,0 ,0 
面霜,128 ,5 ,1 ,1 ,1 ,1 ,1 
面霜,22 ,4 ,1 ,0 ,0 ,1 ,0 
面霜,290 ,5 ,1 ,1 ,1 ,1 ,1 
面霜,110 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,64 ,5 ,1 ,1 ,1 ,1 ,0 
面霜,80 ,3 ,1 ,1 ,1 ,1 ,1 
面霜,275 ,5 ,1 ,1 ,1 ,0 ,0 
面霜,149 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,95 ,5 ,1 ,0 ,1 ,0 ,0 
面霜,48 ,4 ,0 ,0 ,0 ,0 ,0 
面霜,88 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,82 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,70 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,58 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,68 ,5 ,1 ,1 ,1 ,1 ,0 
面霜,42 ,4 ,1 ,0 ,1 ,1 ,0 
面霜,78 ,5 ,1 ,1 ,1 ,1 ,1 
面霜,19 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,65 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,62 ,5 ,1 ,1 ,1 ,1 ,1 
面霜,89 ,5 ,1 ,1 ,1 ,1 ,1 
面霜,58 ,5 ,1 ,1 ,1 ,1 ,1 
面霜,62 ,5 ,1 ,1 ,1 ,1 ,1 
面霜,81 ,4 ,1 ,1 ,1 ,1 ,0 
面霜,89 ,3 ,1 ,1 ,1 ,1 ,0 
面霜,62 ,5 ,1 ,1 ,1 ,1 ,0 
面霜,78 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,42 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,38 ,4 ,0 ,0 ,0 ,0 ,0 
面霜,62 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,98 ,4 ,1 ,1 ,1 ,1 ,0 
面霜,86 ,4 ,0 ,0 ,0 ,0 ,0 
面霜,19 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,60 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,39 ,5 ,0 ,0 ,0 ,0 ,0 
面霜,149 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,100 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,50 ,5 ,1 ,1 ,1 ,1 ,1 
面霜,169 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,75 ,5 ,1 ,1 ,1 ,1 ,1 
面霜,35 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,38 ,4 ,1 ,0 ,0 ,1 ,0 
面霜,49 ,4 ,0 ,0 ,0 ,0 ,0 
面霜,48 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,60 ,4 ,1 ,1 ,1 ,1 ,0 
面霜,275 ,5 ,1 ,1 ,1 ,0 ,0 
面霜,56 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,118 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,75 ,4 ,0 ,0 ,0 ,0 ,0 
面霜,36 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,58 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,68 ,4 ,0 ,0 ,0 ,0 ,0 
面霜,100 ,4 ,1 ,1 ,1 ,0 ,1 
面霜,88 ,4 ,1 ,1 ,1 ,1 ,0 
面霜,54 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,59 ,5 ,1 ,1 ,1 ,1 ,1 
面霜,41 ,4 ,0 ,0 ,0 ,0 ,0 
面霜,44 ,5 ,1 ,1 ,1 ,1 ,0 
面霜,30 ,4 ,1 ,1 ,1 ,1 ,1 
面霜,29 ,3 ,1 ,0 ,0 ,1 ,0 
面霜,55 ,5 ,1 ,1 ,1 ,1 ,1 
面霜,95 ,5 ,0 ,1 ,1 ,0 ,0 
面霜,39 ,4 ,1 ,0 ,1 ,1 ,1 
